label,setting,Ti,Y,Hf,Th,U,La,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
0,continental,4.429622026,1327,10810,150.9999999,308.9999997,0.0067,26.99999999,1.059999999,3.320000002,0.198335702,33.00000001,11.57,138.9999999,54.00000002,237,47.99999996,383,62.99999993
1,oceanic,50.39999995,678.9999996,10271.76999,3.000000002,4.999999996,0.01,1.699999999,0.4,1.2,0.811900534,15,5.999999995,69.00000004,26.99999999,128.9999999,30.00000002,226.9999999,43.00000004
0,continental,4.429999998,915.290001,11903.86001,64.18000004,338.2600004,0.02,15.83000001,0.48,1.690000002,1.043872114,17.39,6.629999994,69.31000002,33.08999999,158.8799999,36.32000001,318.3199999,66.55999996
0,continental,5.255489842,1485.999999,10883,168.0000001,288.0000002,0.003,22.00000001,1.120000001,4.069999998,0.343317939,41.99999996,16.31,184,65.00000005,295,59.99999995,466.0000003,76.99999997
0,continental,3.769301298,4162.000001,10505.00001,961.9999999,1238.999999,0.0194,59.99999995,3.889999997,12.04,0.492939609,90.99999993,35.66999997,437,164,731.9999999,146.0000001,1122,181.0000001
0,continental,10.17,2134.960002,9162.970007,270.3900001,411.9400003,0.05,21.38000001,3.580000003,6.539999995,4.825008885,53.89000005,18.64,198.4700001,76.49000001,332.87,70.69000006,592.1199994,114.35
1,oceanic,7.260000005,4024.809997,8517.949991,160.5300001,246.7699999,0.05,35.53999996,5.529999996,16.39000002,5.056980458,145.3699999,48.78999999,506.65,171.2700001,685.1699996,126.73,912.3099994,141.73
0,continental,4.9,671.9999999,11760.00001,134.9999998,411.0000001,0.011,15,0.7,1.359999999,1.039232682,11,4.600000003,58.00000006,24.00000002,138.9999999,36.00000002,365.9999997,81.99999993
0,continental,2.863227133,564.3727419,12097.34689,100.6397126,236.5917153,0.019963319,24.11650603,0.206826454,0.567966342,0.264925464,7.683477344,3.260047328,42.16154266,19.96676176,110.8812913,26.98499836,256.5311565,52.03000492
0,continental,15.96999999,1186.67,8818.229999,49.74000001,72.87000008,0.03,14.43,2.249999999,5.34,2.864849021,41.87000001,12.90999999,135.41,48.65000004,197.4399998,38.82,307.52,54.54000005
1,oceanic,6.439999995,4478.509997,7606.349996,219.4600001,284.6400002,0.12,68.40000004,7.960000005,18.68,4.813410299,161.08,54.46,548.5399998,194.0800002,757.4600008,139.28,979.930001,151.7400001
0,continental,3.181326426,1665.172469,10627.98202,381.8004369,457.515853,0.016128307,52.72325966,1.486319395,4.142864709,1.516364758,32.41277683,12.05738588,153.4808416,61.23032054,292.8933963,67.8140645,605.3647337,116.1380412
1,oceanic,4.929999997,11599.99999,9959.99999,55.49999998,148.9999999,0.069,24.80000001,8.440000007,25.40000002,4.546642983,181.0000001,77.70000004,967.9999993,406.0000004,1729.999999,369.9999999,3100.000001,715.9999995
0,continental,11.01,573.4899994,9990.889991,26.04000001,50.66999997,0.01,9.939999991,0.749999999,2.259999999,1.287442274,17.47,5.590000001,59.46999993,22.28000003,96.16000008,21.06000001,180.0600001,32.03000002
1,oceanic,14.71000001,827.1400008,7819.189995,19.48000002,66.34999997,0.01,10.62000001,1.349999998,2.919999997,1.55420959,26.13999999,8.620000003,94.59999991,33.99000003,144.9599999,28.98999998,237.4300003,39.50000003
0,continental,2.958015545,654.7775084,10635.48002,102.9052545,256.2725298,0.073214831,19.54701121,0.230672579,0.728110824,0.336310693,9.935636426,3.836232701,52.05425845,24.44224652,124.9260269,31.68637772,297.7337997,61.23716942
1,oceanic,6.909999994,8119.999995,11700.00001,128.9999999,252.0000001,0.0579,31.1,3.839999997,12.4,2.470497333,107.9999999,49.50000001,630.9999996,275.0000001,1229.999999,276,2420,579.0000004
0,continental,3.092316972,2050,10290.00001,168.0000001,285.9999999,0.0065,24.00000002,2.37,7.939999992,0.395511545,62.99999993,19.49999998,223,85.99999995,347.0000002,66.00000007,501.0000002,82.99999993
1,oceanic,6.199999993,32853.00002,13331.85001,2452.999999,2750.999998,0.15,190.1000001,12.29999999,48.09999996,1.623801067,595.0000004,233.9999998,2792,1133,4863.999997,979.0000004,7482.999996,1087.999999
0,continental,11.10000001,738.0000003,10568.00001,91.99999993,112.9999999,0.028,20.00000002,2.400000002,4.300000004,2.050628776,23,7.199999993,76.99999997,27.99999998,131.9999999,29.00000001,262.9999997,50.99999999
1,oceanic,24.06,6110.96,10355.95,417.6799998,406.9699998,0.17,92.08000008,9.30000001,21.77,6.657584363,205.5099999,71.62999997,772.7299994,277.96,1119.020001,216.7599998,1607.029999,264.9199998
0,continental,3.897541481,1684.999999,10571,127,243.0000002,0.0387,24.00000002,1.139999999,5.440000004,0.267927176,41.00000003,14.54999999,169.0000002,65.00000005,260.9999998,54.00000002,403.9999999,61
0,continental,6.826727679,1582.66892,8040.8364,288.5021374,322.5216426,0.135127089,34.51311512,3.331849515,6.585954697,3.871691744,38.56561141,12.7290368,145.9516432,54.85111068,250.2519107,58.50470475,541.5221283,111.5241487
0,continental,7.946588822,1605.000001,11070,243.0000002,368.9999999,0.0202,47.99999996,1.470000001,4.780000004,0.680836591,36.00000002,13.49000001,166,62.99999993,285.9999999,57.00000004,483.0000003,78.99999995
1,oceanic,14.65000001,1051.560001,8908.149994,32.48000003,68.37000002,0.01,5.280000006,0.909999999,2.349999999,1.067069272,23.01999998,8.550000005,101.87,40.87000003,184.2500002,38.3,305.2900001,55.17999998
1,oceanic,7.869999993,1779.999999,7279.999995,36.69999998,87.99999997,0.123,3.199999998,4.240000004,6.059999998,2.076145648,15.2,6.220000004,91.89999992,38.00000003,205,54.99999994,570.9999997,147.0000001
0,continental,5.21990096,2671,10338,292.9999998,462.0000005,0.035,31.99999998,3.280000002,8.759999997,0.53701421,67.00000005,24.58000003,281.9999998,107.9999999,450.0000002,87.99999997,649.0000003,109
0,continental,42.22,2086.939999,8284.650008,146.5999999,144.9599999,0.1,27.77999997,5.160000004,9.199999993,3.781136766,71.96000005,23.39000001,202.8400001,85.28000006,325.17,63.11999997,474.9300004,85.84000001
1,oceanic,7.560000009,3277.029998,8551.739991,75.48999994,135.8699999,0.06,28.58999998,4.329999996,10.44000001,3.38678508,106.86,34.96,373.8600003,141.1899999,560.0699995,100.96,695.4799993,111.1399999
1,oceanic,17.06000001,1198.48,9182.940006,54.68000001,93.03000001,0.03,12.58,1.589999999,3.979999999,1.519413855,35.34999999,12.09999999,128.6000001,51.02999996,209.3999998,41.50999996,317.0599998,54.88000004
1,oceanic,9.720000002,1166.420001,9554.670001,46.33999995,94.77000008,0.02,13.19999999,0.96,2.979999999,1.159857904,27.61999998,10.76999999,122.6899999,49.20000003,210.4199999,42.55999997,327.8100002,55.41999994
1,oceanic,12.5,828.44,9438.22999,18.42999999,46.22999995,0.01,5.169999999,0.47,1.649999999,0.521936056,17.45999999,6.439999995,80.75999995,34.50999998,155.0400001,32.96999999,272.8899998,50.54000005
1,oceanic,4.300000004,715.0000003,14627.63999,194.9999998,592.0000004,0.01,6.800000005,0.2,0.599999999,0.347957371,8,3.820000001,56,26,147.0000001,34.99999997,395.0000003,85.00000006
1,oceanic,7.150000003,2089.999999,7389.999993,23.10000001,74.19999995,0.105,4.28,3.43,6.820000005,2.052948493,14.10000001,6.700000005,105,46.00000003,243.9999998,65.59999994,693.0000006,172.9999999
0,continental,3.101170171,643.861663,10794.59568,126.9764737,299.2276281,0.03253244,21.47819317,0.240646465,0.870488474,0.378199343,9.300734198,4.654299036,66.77215687,28.09710853,145.811534,37.29335755,347.9359132,71.85463043
1,oceanic,21.44,2969.520002,8263.220008,210.32,236.23,0.12,37.21,4.760000003,10.85999999,3.178010654,95.1799999,31.26999998,332.2299999,124.4700001,516.3899994,100.71,763.4299998,126.0900001
0,continental,10.10000001,215,10692,29.00000001,54.99999994,0.006,12.99999999,0.2,0.599999999,0.323600355,3.999999997,1.5,19,8,39,8.999999991,91.99999993,19
0,continental,11.39999999,1066.999999,10332.00001,112.0000001,166.9999999,0.016,12,1.299999999,3.169999998,0.533534636,26,8.599999995,100,39.99999997,193,41.99999996,358.0000003,67.00000005
1,oceanic,4.45,4971.319997,10131.89,645.8800006,1392.159999,0.06,108.25,5.15,11.81000001,1.113463589,93.55999997,37.46,452.69,185.1100001,815.34,173.8899998,1322.78,199.8699998
1,oceanic,11.67,2021.849998,9918.910007,49.72999997,92.01000006,0.04,12,3.810000003,8.550000005,2.435701597,70.75999996,22.24,235.18,87.2099999,344.5700001,64.41999993,471.8399998,77.68999992
0,continental,13.30340081,2134.999998,8163.999999,141.0000001,194.9999998,0.0107,16.99999999,4.019999999,10.30000001,1.453301955,66.00000007,24.29000001,252.0000001,89.99999991,365.9999997,71.00000005,515,85.99999995
1,oceanic,10.9,4419.030001,11881.59,551.5199999,508.2499996,0.02,151.1299999,4.17,12.75000001,3.085222024,129.3100001,45.87999998,505.0200005,187.2099999,762.5499993,146.7300002,1082.93,174.73
0,continental,4.347557174,1908.999998,11711,194.9999998,318,0.054,26,2.339999998,6.659999997,0.488300177,59.00000005,21.03000002,236,85.99999995,363,71.99999993,549.9999994,90.99999993
1,oceanic,18.70000002,10173.27,12457.69001,752.8299996,929.2399997,0.15,295.1999999,12.80000001,29.19999997,4.720621661,262.1599998,100.45,1173.42,416.7100004,1877.009998,375.2299997,3040.99,437.0799996
0,continental,10.75999999,1845.470001,9091.760002,146.2500001,249.3199999,0.1,18.92,3.42,7.869999993,3.955115448,61.73,19.39,187.7000002,75.62999993,322.4899998,66.70000001,535.8499999,97.35000003
0,continental,4.206064071,1921.000001,10400.99999,170.9999998,277,0.104,25.00000002,2.540000002,6.529999996,0.473222025,56,19.57999998,219.0000001,78.99999995,329,66.00000007,488.9999999,81.00000002
0,continental,14.60000001,851.2500002,8655.269996,35.95999999,77.09999999,0.01,12.02999999,1.189999999,2.480000001,1.461420959,21.43,6.740000007,72.94,29.42999999,143.8299999,31.01999997,271.13,51.44999999
1,oceanic,14.85999999,1905.990001,8861.899999,45.32999999,83.05000004,0.04,5.160000004,2.269999999,5.520000003,2.424103019,53.24999999,18.36999999,207.04,79.19000001,339.4100002,67.89000005,536.0300006,93.65000006
