label,Category,Ti,Y,Hf,Th,U,La,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
0,Continental arc,84.08,413.62,11397.01,27.23,204.43,0.82,8.99,0.89,1.01,0.45,9.1,3.33,38.04,16.53,79.28,19.28,183.48,40.62
0,Continental arc,76.98,573.21,12380.74,34.74,310.28,0.77,8.92,1.11,1.3,0.52,11.98,4.15,55.38,23.99,112.1,26.67,242.02,51.25
0,Continental arc,11.06,678.51,10949,148,349,0.754,27.04,1.03,1.49,0.4,13.52,4.77,68.54,31.6,165.33,42.28,391.79,85.21
0,Continental arc,19.66,807.31,11309.26,43.43,441.02,0.73,7.17,0.78,1.16,0.53,14.26,5.63,74.04,31.01,156.97,36.22,323.02,65.09
0,Continental arc,32.35,303.1,11806.44,22.18,72.08,0.72,6.52,0.47,0.78,0.36,6.51,2.28,25.93,11.01,55.15,12.94,122.05,25.81
0,Continental arc,36.83,11621.41,6515.97,2880.38,2529.7,0.7,232.02,36.24,86.16,40.04,644.73,172.8,1525.56,464.28,1685.33,295.52,2126.8,353.04
0,Continental arc,44.05,453.82,10273.96,41.66,267.1,0.67,9.27,1.14,1.38,0.64,10.87,4.09,49.26,20.49,99.14,24.35,230.36,50.78
0,Continental arc,12.8,3621,14407,2617,5508,0.606,128,2.1,7.27,2.969,74,29.1,343,133,647,141,1260,228
0,Continental arc,9.6,1483,10580,699,867,0.512,91,2.2,5.4,3.289,44,14.3,153,59,282,63,556,110
0,Continental arc,17,6270,11871,9143,6910,0.495,371,12.7,26.98,13.907,194,58,582,221,964,208,1812,334
0,Continental arc,8.2,1640,12462,351,1115,0.491,34,0.6,2.04,1.536,26,10,122,54,280,68,676,147
0,Continental arc,7.71,335.18,10903.83,61.28,364.19,0.47,6.22,0.45,0.79,0.48,6.82,2.56,31.42,13.42,60.34,12.78,117.64,22.32
0,Continental arc,32.27,494.29,10474.6,26.78,195.75,0.47,6.53,0.93,1.11,0.55,8.77,3.3,40.15,16.06,89.57,21.55,209.13,46.19
0,Continental arc,14.83,512.75,9192.92,41.09,72.07,0.46,10.22,1.65,2.82,1.46,16.47,4.9,44.86,19.12,83.42,18.12,159.78,33.3
0,Continental arc,19.17,549.27,12706.57,30.73,280.38,0.46,7.72,0.91,0.97,0.36,9.75,4.11,51.29,21.27,110.49,26.71,255,51.2
0,Continental arc,9.68,5681.07,7747,1172,780,0.431,133.4,13.79,26.37,11.39,164.73,53.71,621.48,207.73,931.71,196.95,1760.88,314.63
0,Continental arc,6.07,758.23,11051,158,361,0.419,24.58,0.73,0.99,0.47,10.47,3.96,54.06,25.04,131.35,34.44,331.3,71.72
0,Continental arc,6.58,575.48,10854,96,253,0.398,18.63,0.58,0.93,0.41,7.67,2.73,38,18.63,95.98,25.58,258.25,55.1
0,Continental arc,31.74,205.51,11539,14.96,117.28,0.36,4.44,0.62,0.64,0.25,3.5,1.74,20.48,8.25,43.51,11,112.67,24.27
0,Continental arc,11.6,1673,10486,322,1026,0.344,58,2,4.97,2.987,42,14.3,154,62,269,57,455,85
0,Continental arc,11.03,670.12,11737.04,32.28,284.22,0.34,7.81,1.06,1.43,0.58,12.85,4.95,60.93,24.9,123.37,29.79,282.39,57.54
0,Continental arc,4.04,469.19,11436,128,286,0.333,19.79,0.61,0.84,0.3,8.76,3.26,43.93,20.05,108.28,28.18,283.82,61
0,Continental arc,48.85,783.22,10687.63,95.63,444.84,0.33,11.58,0.76,1.54,0.98,17.13,7.22,88.59,32.74,188.34,44.67,417.5,88.32
0,Continental arc,3.2,648,13112,379,1025,0.303,27,0.7,1.52,0.796,10,3.9,45,22,132,37,415,103
0,Continental arc,3.58,489.27,12465.92,187.22,472.29,0.3,17.92,0.34,1.16,0.58,12.54,4.18,48.03,18.37,87.96,19.65,178.23,35.78
0,Continental arc,22.91,883.27,11032.25,69.08,348.03,0.28,12.9,0.58,1.72,0.82,17.7,6.89,79.97,32.59,163.05,37.31,356.88,75.1
0,Continental arc,6.85,648.31,11693.62,29.94,251.47,0.27,7.39,0.93,1.42,0.51,12.4,4.76,57.76,23.58,115.11,29.22,271.31,54.85
0,Continental arc,31.33,967.45,10436.6,156.16,603.04,0.27,17.51,0.99,2.24,1.39,26.92,10.82,132.11,48.97,252.29,57.59,534.7,109
0,Continental arc,34.01,783.86,11162.84,38.04,251.47,0.27,8.8,0.81,1.22,0.68,14.62,5.68,66.57,27.63,130.54,30.31,260.35,53.28
0,Continental arc,2.3,321.69,13316.66,26.13,246.72,0.26,5.74,0.11,0.38,0.3,5.55,2.26,26.99,11.35,59.03,14.34,139.12,28.85
0,Continental arc,6.64,776.68,12027.97,29.36,312.24,0.22,6.32,0.61,0.95,0.53,13.24,5.21,64.63,26.62,131.19,30.95,273.24,56.86
0,Continental arc,10.41,533.34,8517.56,22.58,92.72,0.22,9.06,1.3,2.57,1.36,17.02,5.22,50.47,17.93,71.12,15.29,104.18,20.77
0,Continental arc,27.54,495.08,10191.49,30.89,62.48,0.22,10.44,0.91,1.86,1.05,14.69,4.5,46.22,18.41,84.95,19.71,173.31,34.38
0,Continental arc,72.71,426.49,11415.38,21.4,177.21,0.22,5.55,0.44,0.93,0.32,7.66,2.49,32.66,14.03,72.86,17.41,167.78,36.07
0,Continental arc,13.88,418.32,9814.68,67.53,150.64,0.21,8.07,1.01,0.86,0.66,8.19,2.82,28.39,14.9,70.49,16.91,162.15,34.68
0,Continental arc,80.58,655.09,10425.64,46.7,242.2,0.21,8.28,0.63,1.53,0.54,10.14,3.69,47.68,18.97,102.51,26.06,242.43,53.2
0,Continental arc,8.72,801.4,10895.86,54.55,331.91,0.2,10.09,1.09,1.69,0.74,16.29,5.84,70.34,28.49,146.3,32.96,323.16,66.57
0,Continental arc,13.33,811.4,11358.83,59.55,330.96,0.2,10.12,0.52,1.55,0.85,16.94,6.45,77.91,31.79,160.17,37.5,343.27,71.62
0,Continental arc,4.97,838.54,12015.63,36.67,369.82,0.18,7.2,0.63,1.09,0.47,13.28,5.61,69.25,28.56,138.04,32.03,283.42,59.43
0,Continental arc,14.55,937.99,7991.79,35.5,116.67,0.18,16.15,1.79,4.37,2.95,34.45,9.95,94.1,29.52,110.54,20.77,156.89,28.6
