label,settings,Ti,Y,Hf,Th,U,La,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
-1,unlabel,8.999999991,2144.968847,29154.93181,168.0000001,140.0000001,0.29,13.59999999,9.870000008,16.49999999,1.100000001,69.50000007,22.49999999,236,80,310.0000001,56.89999995,483.0000003,90.99999993
-1,unlabel,8.040000005,2569.620001,12188.35999,77.54000006,353.7299999,0.02,2.85,1.229999999,3.300000001,0.24,30.45,13.71000001,197.8999999,86.29,423.8100001,95.83999999,927.1500008,182.78
-1,unlabel,21.29999998,3131.000003,11351.99999,194.9999998,208.9999999,0.56,9.430000006,8.140000002,19,0.82,107.0000001,33.79999998,344.9999999,107.9999999,428,81.70000009,725.0000007,133
-1,unlabel,2.400000002,4678.999998,15408.99999,164,1384.999999,0.01,1.509999999,1.05,5.15,0.12,47.50000004,25.29999999,368.9999999,158,774.0000006,170.9999998,1635.999999,316.0000003
-1,unlabel,14.00000001,2044.999998,13320.00001,58.00000006,113.9999999,0.12,4.199999996,2.500000002,9.269999997,6.600000006,69.76000001,23.54000003,235.1999998,67.51,280.3799997,68.21000007,743.4799995,147.0000001
-1,unlabel,7,2050,10749.99999,94.00000009,598,0.81,15.30000001,8.500000006,6.900000004,2.109999998,25.69999998,11.10000001,156.9999999,69.80000006,376.0000001,109,1270,257.4999998
-1,unlabel,10.10000001,3835.999996,9038.999992,290.0000001,155.9999999,0.1,9.499999994,8.599999995,15.69999999,1.44,83.99999999,26.9,338.9999998,113.9999999,520.0000004,94.99999994,951.9999992,150
-1,unlabel,8.679999996,4434.000002,14296.99999,494.0000001,404.9999998,0.14,4.25,5.15,20.59999998,8.060000003,120,37.80000001,394.0000002,126,501.0000002,101.0000001,922.9999999,154.9999999
-1,unlabel,3.999999997,2710.390298,25135.74038,115.9999999,69.00000004,0.25,11.59999999,9.219999999,14.00000001,0.9,68.00000005,20.8,236,89.09999999,369.9999999,72.29999995,619.9999993,124
-1,unlabel,27.99999998,796.9999993,18169.99999,135.9999999,275.0000001,0.02,1.400000001,0.88,1.26,3.189999999,6.490000003,4.039999999,63.42000005,25.28999998,143.7400002,45.50000004,626.1300003,138.9999999
-1,unlabel,14.93000001,3954.469998,12057.37999,210.14,223.4999998,0.09,5.849999999,5.580000001,13.3,1.389999999,82.26999994,29.07999999,354.1899997,130.59,566.6799997,111.54,1090.7,180.46
-1,unlabel,16.83999999,1850.354668,6646.168305,451.8000004,1128.73,0.780000001,10.89000001,6.109999997,8.969999999,1.01,41.60000004,13.22999999,157.6799999,54.49000001,261.1300002,47.43000004,445.0799996,78.37000004
-1,unlabel,5.280000006,5262.589998,13599.43999,66.90000004,1365.550001,0.1,0.909999999,1.220000001,5.039999995,0.27,36.27000004,26.48000001,361.6400004,148.2000001,640.3400005,134.0099999,894.8600007,190.3900001
-1,unlabel,6.179999999,3883.849996,10121.71,704.2100002,953.4100005,0.24,20.89999999,10.12000001,13.95999999,1.550000001,82.81000007,27.43000002,344.2300001,127.0499999,541.44,101.0000001,956.2899992,157.4299998
-1,unlabel,11,2930.999997,15340.00001,71.99999993,809.0000007,0.19,3.449999999,2.449999998,3.889999997,1.87,30.52999998,13.22,196.97,84.59999999,421.9700001,95.6600001,1079.939999,192.0000001
-1,unlabel,6.900000004,2688.999999,12900.99999,224.9999999,648.0000002,0.03,1.629999998,2.449999998,10.59999999,0.18,60.19999996,21.80000002,261.9999998,78.00000006,313.0000003,51.29999999,484.0000004,71.00000005
-1,unlabel,7,3459,15087.99999,50.99999999,416.0000004,0.01,0.650000001,0.32,3.280000002,0.11,30.86999997,15.67999999,242.9499998,109.1100001,551.7100002,116.62,1194.980001,230
-1,unlabel,14.85000001,5562.670005,12360.55001,56.64999997,344.9999999,0.02,1.079999999,1.909999999,5.830000003,0.13,41.87000001,26.76999999,369.4100003,168.9200001,752.1899993,166.03,1129.96,278.6700003
-1,unlabel,4.999999996,633.3398633,24958.11808,53.00000005,320.9999997,0.26,7.709999999,0.580000001,0.77,0.37,3.080000004,1.410000001,19,10,62.20000004,18.49999998,248.0000001,80
-1,unlabel,12,2176.098943,27854.51276,245.9999999,318,0.18,11.10000001,2.489999999,4.780000004,1.010000002,32.20000002,11.79999999,147.9999999,60.59999998,281.0000001,56.70000001,536.0000004,111.0000001
-1,unlabel,3.000000002,1587.693537,15332.00001,195.9999998,596.9999998,0.03,24.03000001,1.120000001,2.269999999,1.309999998,20.02999999,8.329999992,112.5100001,49.10999999,243.9999998,61.59999998,669.0000004,160.0000001
-1,unlabel,3.389999998,3288.999996,15163,124,1162,0.03,1.66,0.660000001,4.37,0.12,33.00000001,18.30000001,268,109,543.0000005,124,1196.999999,230
-1,unlabel,5.449999997,3817.999999,12310,184.9999998,572.0000003,0.04,0.84,1.589999999,5.440000004,1.43,46.09999996,18.70000002,281.0000001,105.9999999,540.0000002,111.0000001,1170.000001,187.9999999
-1,unlabel,6.059999998,3009.000002,15473.00002,669.0000004,1802.000001,0.61,37.9,5.790000004,16.90000002,7.97000001,79.50000006,26.09999998,289.0000002,102.0000001,470.0000001,105,1018,183.0000001
-1,unlabel,10.14,2624.799998,11515.25999,116.71,264.15,0.04,1.690000002,2.699999999,7.229999995,0.59,50.49000004,18.48,234.0100002,92.12999997,410.4900003,85.00000006,788.8800004,147.6400002
-1,unlabel,5.29,2411.219999,12017.22,99.72000004,591.3499998,0.03,2.540000002,1.299999999,4.060000004,0.15,33.18999997,14.18,194.59,79.72999998,375.2299997,79.58000003,722.7899994,139.39
